Selecionado;Item Title;Publication Title;Book Series Title;Journal Volume;Journal Issue;Item DOI;Authors;Publication Year;URL;Content Type;;;;;;
;Abstracts of 51st EASD Annual Meeting;Diabetologia;;58;1;10.1007/s00125-015-3687-4;;2015;http://link.springer.com/article/10.1007/s00125-015-3687-4;Article;;;;;;
;Goal-oriented requirements engineering: an extended systematic mapping study;Requirements Engineering;;24;2;10.1007/s00766-017-0280-z;Jennifer HorkoffFatma Başak AydemirEvellin CardosoTong LiAlejandro MatéElda PajaMattia SalnitriLuca PirasJohn MylopoulosPaolo Giorgini;2019;http://link.springer.com/article/10.1007/s00766-017-0280-z;Article;;;;;;
;Quantitative Perspectives on Fifty Years of the Journal of the History of Biology;Journal of the History of Biology;;50;4;10.1007/s10739-017-9499-2;B. R. Erick PeirsonErin BottinoJulia L. DamerowManfred D. Laubichler;2017;http://link.springer.com/article/10.1007/s10739-017-9499-2;Article;;;;;;
;PenQuest: a gamified attacker/defender meta model for cyber security assessment and education;Journal of Computer Virology and Hacking Techniques;;16;1;10.1007/s11416-019-00342-x;Robert LuhMarlies TemperSimon TjoaSebastian SchrittwieserHelge Janicke;2020;http://link.springer.com/article/10.1007/s11416-019-00342-x;Article;;;;;;
;Social recommender systems: techniques; domains; metrics; datasets and future scope;Journal of Intelligent Information Systems;;54;3;10.1007/s10844-019-00578-5;Jyoti ShokeenChhavi Rana;2020;http://link.springer.com/article/10.1007/s10844-019-00578-5;Article;;;
;A comprehensive study of visual event computing;Multimedia Tools and Applications;;55;3;10.1007/s11042-010-0560-9;WeiQi YanDeclan F. KieranSetareh RafatiradRamesh Jain;2011;http://link.springer.com/article/10.1007/s11042-010-0560-9;Article;;;;;;
;Operationalizing anthropological theory: four techniques to simplify networks of co-occurring ethnographic codes;Applied Network Science;;8;1;10.1007/s41109-023-00547-6;Alberto CotticaVeronica DavidovMagdalena GóralskaJan KubikGuy MelançonRichard MoleBruno PinaudWojciech Szymański;2023;http://link.springer.com/article/10.1007/s41109-023-00547-6;Article;;;;;;
;Context-based resolution of semantic conflicts in biological pathways;BMC Medical Informatics and Decision Making;;15;1;10.1186/1472-6947-15-S1-S3;Seyeol YoonJinmyung JungHasun YuMijin KwonSungji ChooKyunghyun ParkDongjin JangSangwoo KimDoheon Lee;2015;http://link.springer.com/article/10.1186/1472-6947-15-S1-S3;Article;;;;;;
;Text summarization from legal documents: a survey;Artificial Intelligence Review;;51;3;10.1007/s10462-017-9566-2;Ambedkar KanapalaSukomal PalRajendra Pamula;2019;http://link.springer.com/article/10.1007/s10462-017-9566-2;Article;;;;;;
;Cutting the Network; Knotting the Line: a Linaeological Approach to Network Analysis;Journal of Archaeological Method and Theory;;28;1;10.1007/s10816-020-09450-1;Gísli Pálsson;2021;http://link.springer.com/article/10.1007/s10816-020-09450-1;Article;;;;;
;A framework for conceptualizing; representing; and analyzing distributed interaction;International Journal of Computer-Supported Collaborative Learning;;5;1;10.1007/s11412-009-9081-9;Daniel D. SuthersNathan DwyerRichard MedinaRavi Vatrapu;2010;http://link.springer.com/article/10.1007/s11412-009-9081-9;Article;;;;
;Tools and approaches for the construction of knowledge models from the neuroscientific literature;Neuroinformatics;;1;1;10.1385/NI:1:1:081;Gully A. P. C. BurnsArshad M. KhanShahram GhandeharizadehMark A. O’NeillYi-Shin Chen;2003;http://link.springer.com/article/10.1385/NI%3A1%3A1%3A081;Article;;;;;;
;Interactive cross and multimodal biomedical image retrieval based on automatic region-of-interest (ROI) identification and classification;International Journal of Multimedia Information Retrieval;;3;3;10.1007/s13735-014-0057-9;Md Mahmudur RahmanDaekeun YouMatthew S. SimpsonSameer K. AntaniDina Demner-FushmanGeorge R. Thoma;2014;http://link.springer.com/article/10.1007/s13735-014-0057-9;Article;;;;;;
;Algorithms for mutant sorting: the need for phenotype vocabularies;Mammalian Genome;;11;7;10.1007/s003350010111;Janan T. Eppig;2000;http://link.springer.com/article/10.1007/s003350010111;Article;;;;;;
;Activity inference engine for real-time cognitive assistance in smart environments;Journal of Ambient Intelligence and Humanized Computing;;9;3;10.1007/s12652-017-0467-7;Jianguo HaoAbdenour BouzouaneBruno BouchardSébastien Gaboury;2018;http://link.springer.com/article/10.1007/s12652-017-0467-7;Article;;;;;;
;Abstracts;European Biophysics Journal;;46;1;10.1007/s00249-017-1222-x;;2017;http://link.springer.com/article/10.1007/s00249-017-1222-x;Article;;;;;;
;A descriptive framework for the field of knowledge management;Knowledge and Information Systems;;62;12;10.1007/s10115-020-01492-x;Yousra HarbEmad Abu-Shanab;2020;http://link.springer.com/article/10.1007/s10115-020-01492-x;Article;;;;;;
;Abstract;Virchows Archiv;;455;1;10.1007/s00428-009-0805-z;;2009;http://link.springer.com/article/10.1007/s00428-009-0805-z;Article;;;;;;
;Abstracts of the 49th Annual Meeting of the EASD;Diabetologia;;56;1;10.1007/s00125-013-3012-z;;2013;http://link.springer.com/article/10.1007/s00125-013-3012-z;Article;;;;;;
;Structure; function; and behaviour of computational models in systems biology;BMC Systems Biology;;7;1;10.1186/1752-0509-7-43;Christian KnüpferClemens BecksteinPeter DittrichNicolas Le Novère;2013;http://link.springer.com/article/10.1186/1752-0509-7-43;Article;;;;
;Digital research data: from analysis of existing standards to a scientific foundation for a modular metadata schema in nanosafety;Particle and Fibre Toxicology;;19;1;10.1186/s12989-021-00442-x;Linda ElberskirchKunigunde BinderNorbert RieflerAdriana SofrankoJulia LiebingChristian Bonatto MinellaLutz MädlerMatthias RazumChristoph van ThrielKlaus UnfriedRoel P. F. SchinsAnnette Kraegeloh;2022;http://link.springer.com/article/10.1186/s12989-021-00442-x;Article;;;;;;
;A knowledge-based prototyping environment for construction of scientific modeling software;Automated Software Engineering;;1;1;10.1007/BF00871693;Richard M. KellerMichal RimonAseem Das;1994;http://link.springer.com/article/10.1007/BF00871693;Article;;;;;;
;Discovering internal social relationship for influence-aware service recommendation;Multimedia Tools and Applications;;76;18;10.1007/s11042-016-3437-8;Wuhui ChenIncheon PaikNeil Y. Yen;2017;http://link.springer.com/article/10.1007/s11042-016-3437-8;Article;;;;;;
;Relations in biomedical ontologies;Genome Biology;;6;5;10.1186/gb-2005-6-5-r46;Barry SmithWerner CeustersBert KlaggesJacob KöhlerAnand KumarJane LomaxChris MungallFabian NeuhausAlan L RectorCornelius Rosse;2005;http://link.springer.com/article/10.1186/gb-2005-6-5-r46;Article;;;;;;
;Using ontologies to perform threat analysis and develop defensive strategies for mobile security;Information Technology and Management;;18;1;10.1007/s10799-014-0213-1;Ping WangKuo-Ming ChaoChi-Chun LoYu-Shih Wang;2017;http://link.springer.com/article/10.1007/s10799-014-0213-1;Article;;;;;;
;Tailoring Automatically Generated Hypertext;User Modeling and User-Adapted Interaction;;15;01/fev;10.1007/s11257-004-5637-6;Kalina BontchevaYorick Wilks;2005;http://link.springer.com/article/10.1007/s11257-004-5637-6;Article;;;;;;
;A query expansion and user profile enrichment approach to improve the performance of recommender systems operating on a folksonomy;User Modeling and User-Adapted Interaction;;20;1;10.1007/s11257-010-9072-6;Pasquale De MeoGiovanni QuattroneDomenico Ursino;2010;http://link.springer.com/article/10.1007/s11257-010-9072-6;Article;;;;;;
;Generating natural language tags for video information management;Machine Vision and Applications;;28;03/abr;10.1007/s00138-017-0825-7;Muhammad Usman Ghani KhanYoshihiko Gotoh;2017;http://link.springer.com/article/10.1007/s00138-017-0825-7;Article;;;;;;
;Research on function based method for bio-inspiration knowledge modeling and transformation;Journal of Shanghai Jiaotong University (Science);;19;2;10.1007/s12204-014-1489-3;Chao-chen Gu 谷朝臣Jie Hu 胡 洁Ying-hong Peng 彭颖红;2014;http://link.springer.com/article/10.1007/s12204-014-1489-3;Article;;;;;;
;Service discovery in the Internet of Things: review of current trends and research challenges;Wireless Networks;;26;7;10.1007/s11276-020-02405-0;Behrouz PourgheblehVahideh HayyolalamAmir Aghaei Anvigh;2020;http://link.springer.com/article/10.1007/s11276-020-02405-0;Article;;;;;;
;A network approach for managing and processing big cancer data in clouds;Cluster Computing;;18;3;10.1007/s10586-015-0456-6;Wei XingWei JieDimitrios TsoumakosMoustafa Ghanem;2015;http://link.springer.com/article/10.1007/s10586-015-0456-6;Article;;;;;;
;Mathematical Linguistics in Cognitive Medical Image Interpretation Systems;Journal of Mathematical Imaging and Vision;;34;3;10.1007/s10851-009-0151-4;Lidia OgielaMarek R. OgielaRyszard Tadeusiewicz;2009;http://link.springer.com/article/10.1007/s10851-009-0151-4;Article;;;;;;
;On the ontological expressiveness of conceptual modeling grammars for service productivity management;Information Systems and e-Business Management;;12;3;10.1007/s10257-013-0219-y;Jörg BeckerDaniel BeverungenRalf KnackstedtHans Peter RauerDaniel Sigge;2014;http://link.springer.com/article/10.1007/s10257-013-0219-y;Article;;;;;;
;Maintenance of Enterprise Architecture Models;Business & Information Systems Engineering;;63;2;10.1007/s12599-020-00636-1;Nuno SilvaPedro SousaMiguel Mira da Silva;2021;http://link.springer.com/article/10.1007/s12599-020-00636-1;Article;;;;;;
;Interval-Valued Rank in Finite Ordered Sets;Order;;34;3;10.1007/s11083-016-9411-2;Cliff JoslynAlex PogelEmilie Purvine;2017;http://link.springer.com/article/10.1007/s11083-016-9411-2;Article;;;;;;
;A Linked Democracy Approach for Regulating Public Health Data;Health and Technology;;7;4;10.1007/s12553-017-0191-5;Pompeu CasanovasDanuta MendelsonMarta Poblet;2017;http://link.springer.com/article/10.1007/s12553-017-0191-5;Article;;;;;;
;The Linked Data Benchmark Council Project;Datenbank-Spektrum;;13;2;10.1007/s13222-013-0125-y;Peter BonczIrini FundulakiAndrey GubichevJosep Larriba-PeyThomas Neumann;2013;http://link.springer.com/article/10.1007/s13222-013-0125-y;Article;;;;;;
;2020 Virtual Scientific Session of the Society of American Gastrointestinal and Endoscopic Surgeons (SAGES); 11–13 August 2020;Surgical Endoscopy;;34;2;10.1007/s00464-020-07976-9;;2020;http://link.springer.com/article/10.1007/s00464-020-07976-9;Article;;;;;
;Highly integrated model assessment technology and tools;Educational Technology Research and Development;;58;1;10.1007/s11423-009-9119-8;Pablo Pirnay-DummerDirk IfenthalerJ. Michael Spector;2010;http://link.springer.com/article/10.1007/s11423-009-9119-8;Article;;;;;;
;CorGO: An Integrated Method for Clustering Functionally Similar Genes;Interdisciplinary Sciences: Computational Life Sciences;;13;4;10.1007/s12539-021-00424-9;Namrata PantMadhumita MadhumitaSushmita Paul;2021;http://link.springer.com/article/10.1007/s12539-021-00424-9;Article;;;;;;
;3D relevance feedback via multilevel relevance judgements;The Visual Computer;;26;10;10.1007/s00371-010-0524-0;D. GiorgiP. FrosiniM. SpagnuoloB. Falcidieno;2010;http://link.springer.com/article/10.1007/s00371-010-0524-0;Article;;;;;;
;BicNET: Flexible module discovery in large-scale biological networks using biclustering;Algorithms for Molecular Biology;;11;1;10.1186/s13015-016-0074-8;Rui HenriquesSara C. Madeira;2016;http://link.springer.com/article/10.1186/s13015-016-0074-8;Article;;;;;;
;Software tools; databases and resources in metabolomics: updates from 2018 to 2019;Metabolomics;;16;3;10.1007/s11306-020-01657-3;Keiron O’SheaBiswapriya B. Misra;2020;http://link.springer.com/article/10.1007/s11306-020-01657-3;Article;;;;;
;A joint framework for identifying the type and arguments of scientific contribution;Scientometrics;;128;6;10.1007/s11192-023-04694-6;Wenhan ChaoMengyuan ChenXian ZhouZhunchen Luo;2023;http://link.springer.com/article/10.1007/s11192-023-04694-6;Article;;;;;;
;Data-intensive architecture for scientific knowledge discovery;Distributed and Parallel Databases;;30;05/jun;10.1007/s10619-012-7105-3;Malcolm AtkinsonChee Sun LiewMichelle GaleaPaul MartinAmrey KrauseAdrian MouatOscar CorchoDavid Snelling;2012;http://link.springer.com/article/10.1007/s10619-012-7105-3;Article;;;;;;
;SEmHuS: a semantically embedded humanitarian space;Journal of International Humanitarian Action;;8;1;10.1186/s41018-023-00135-4;Aladdin ShamougStephen CranefieldGrant Dick;2023;http://link.springer.com/article/10.1186/s41018-023-00135-4;Article;;;;;;
;Model-based approaches for interoperability of next generation enterprise information systems: state of the art and future challenges;Information Systems and e-Business Management;;15;2;10.1007/s10257-016-0317-8;Gregory ZacharewiczSaikou DialloYves DucqCarlos AgostinhoRicardo Jardim-GoncalvesHassan BazounZhongjie WangGuy Doumeingts;2017;http://link.springer.com/article/10.1007/s10257-016-0317-8;Article;;;;;;
;Comprehensive Systems: A formal foundation for Multi-Model Consistency Management;Formal Aspects of Computing;;33;6;10.1007/s00165-021-00555-2;Patrick StünkelHarald KönigYngve LamoAdrian Rutle;2021;http://link.springer.com/article/10.1007/s00165-021-00555-2;Article;;;;;;
;Posters;The Journal of Prevention of Alzheimer's Disease;;6;1;10.14283/jpad.2019.48;;2019;http://link.springer.com/article/10.14283/jpad.2019.48;Article;;;;;;
;Perceptible sentiment analysis of students' WhatsApp group chats in valence; arousal; and dominance space;Social Network Analysis and Mining;;13;1;10.1007/s13278-022-01016-1;Baishali RoySourav Das;2022;http://link.springer.com/article/10.1007/s13278-022-01016-1;Article;;;;
;A novel computational knowledge-base framework for visualization and quantification of geospatial metadata in spatial data infrastructures;GeoInformatica;;22;2;10.1007/s10707-018-0317-6;Gangothri RajaramHarish Chandra KarnatakSwaminathan VenkatramanK. R. ManjulaKannan Krithivasan;2018;http://link.springer.com/article/10.1007/s10707-018-0317-6;Article;;;;;;
;Abstractband DOG 2018;Der Ophthalmologe;;115;1;10.1007/s00347-018-0760-7;;2018;http://link.springer.com/article/10.1007/s00347-018-0760-7;Article;;;;;;
;When philosophy (of science) meets formal methods: a citation analysis of early approaches between research fields;Synthese;;200;2;10.1007/s11229-022-03484-6;Guido BoninoPaolo MaffezioliEugenio PetrovichPaolo Tripodi;2022;http://link.springer.com/article/10.1007/s11229-022-03484-6;Article;;;;;;
;Natural language techniques supporting decision modelers;Data Mining and Knowledge Discovery;;35;1;10.1007/s10618-020-00718-4;Leticia ArcoGonzalo NápolesFrank VanhoenshovenAna Laura LaraGladys CasasKoen Vanhoof;2021;http://link.springer.com/article/10.1007/s10618-020-00718-4;Article;;;;;;
;30th Annual Computational Neuroscience Meeting: CNS*2021–Meeting Abstracts;Journal of Computational Neuroscience;;49;1;10.1007/s10827-021-00801-9;;2021;http://link.springer.com/article/10.1007/s10827-021-00801-9;Article;;;;;;
;The similarity of inherited diseases (I): clinical similarity within the phenotypic series;BMC Medical Genomics;;14;1;10.1186/s12920-021-00900-7;Alessio GambaMario SalmonaGianfranco Bazzoni;2021;http://link.springer.com/article/10.1186/s12920-021-00900-7;Article;;;;;;
;Supporting cognition in systems biology analysis: findings on users' processes and design implications;Journal of Biomedical Discovery and Collaboration;;4;1;10.1186/1747-5333-4-2;Barbara Mirel;2009;http://link.springer.com/article/10.1186/1747-5333-4-2;Article;;;;;;
;A systematic mapping of semi-formal and formal methods in requirements engineering of industrial Cyber-Physical systems;Journal of Intelligent Manufacturing;;33;6;10.1007/s10845-021-01753-8;Farzana ZahidAwais TanveerMatthew M. Y. KuoRoopak Sinha;2022;http://link.springer.com/article/10.1007/s10845-021-01753-8;Article;;;;;;
;Creating and analyzing pathway and protein interaction compendia for modelling signal transduction networks;BMC Systems Biology;;6;1;10.1186/1752-0509-6-29;Daniel C KirouacJulio Saez-RodriguezJennifer SwantekJohn M BurkeDouglas A LauffenburgerPeter K Sorger;2012;http://link.springer.com/article/10.1186/1752-0509-6-29;Article;;;;;;
;AoURN-based modeling and analysis of software product lines;Software Quality Journal;;20;03/abr;10.1007/s11219-011-9153-8;Gunter MussbacherJoão AraújoAna MoreiraDaniel Amyot;2012;http://link.springer.com/article/10.1007/s11219-011-9153-8;Article;;;;;;
;A survey of visualization tools for biological network analysis;BioData Mining;;1;1;10.1186/1756-0381-1-12;Georgios A PavlopoulosAnna-Lynn WegenerReinhard Schneider;2008;http://link.springer.com/article/10.1186/1756-0381-1-12;Article;;;;;;
;BioCreative III interactive task: an overview;BMC Bioinformatics;;12;8;10.1186/1471-2105-12-S8-S4;Cecilia N ArighiPhoebe M RobertsShashank AgarwalSanmitra BhattacharyaGianni CesareniAndrew Chatr-aryamontriSimon ClematidePascale GaudetMichelle Gwinn GiglioIan HarrowEva HualaMartin KrallingerUlf LeserDonghui LiFeifan LiuZhiyong Lu;2011;http://link.springer.com/article/10.1186/1471-2105-12-S8-S4;Article;;;;;;
;ReUS: a Real-time Unsupervised System For Monitoring Opinion Streams;Cognitive Computation;;11;4;10.1007/s12559-019-9625-x;Mauro DragoniMarco FedericiAndi Rexha;2019;http://link.springer.com/article/10.1007/s12559-019-9625-x;Article;;;;;;
;Design and Assessment of an Intelligent Activity Monitoring Platform;EURASIP Journal on Advances in Signal Processing;;2005;14;10.1155/ASP.2005.2359;Alberto AvanziFrançois BrémondChristophe TornieriMonique Thonnat;2005;http://link.springer.com/article/10.1155/ASP.2005.2359;Article;;;;;;
;Social media intention mining for sustainable information systems: categories; taxonomy; datasets and challenges;Complex & Intelligent Systems;;9;3;10.1007/s40747-021-00342-9;Ayesha RashidMuhammad Shoaib FarooqAdnan AbidTariq UmerAli Kashif BashirYousaf Bin Zikria;2023;http://link.springer.com/article/10.1007/s40747-021-00342-9;Article;;;;
;Classifier and Exemplar Synthesis for Zero-Shot Learning;International Journal of Computer Vision;;128;1;10.1007/s11263-019-01193-1;Soravit ChangpinyoWei-Lun ChaoBoqing GongFei Sha;2020;http://link.springer.com/article/10.1007/s11263-019-01193-1;Article;;;;;;
;A systematic review of natural language processing applications for hydrometeorological hazards assessment;Natural Hazards;;116;3;10.1007/s11069-023-05842-0;Achraf TounsiMarouane Temimi;2023;http://link.springer.com/article/10.1007/s11069-023-05842-0;Article;;;;;;
;Dealing with change: An approach using non-functional requirements;Requirements Engineering;;1;4;10.1007/BF01587102;Lawrence ChungBrian A. NixonEric Yu;1996;http://link.springer.com/article/10.1007/BF01587102;Article;;;;;;
;Tourism recommendation system: a survey and future research directions;Multimedia Tools and Applications;;82;6;10.1007/s11042-022-12167-w;Joy Lal SarkarAbhishek MajumderChhabi Rani PanigrahiSudipta RoyBibudhendu Pati;2023;http://link.springer.com/article/10.1007/s11042-022-12167-w;Article;;;;;;
;Performance assessment of an architecture with adaptative interfaces for people with special needs;Empirical Software Engineering;;19;6;10.1007/s10664-013-9297-1;Elena Gómez-MartínezRafael Gonzalez-CaberoJose Merseguer;2014;http://link.springer.com/article/10.1007/s10664-013-9297-1;Article;;;;;;
;Transforming Multidisciplinary Customer Requirements to Product Design Specifications;Chinese Journal of Mechanical Engineering;;30;5;10.1007/s10033-017-0181-6;Xiao-Jie MaGuo-Fu DingSheng-Feng QinRong LiKai-Yin YanShou-Ne XiaoGuang-Wu Yang;2017;http://link.springer.com/article/10.1007/s10033-017-0181-6;Article;;;;;;
;Methodological challenges and analytic opportunities for modeling and interpreting Big Healthcare Data;GigaScience;;5;1;10.1186/s13742-016-0117-6;Ivo D. Dinov;2016;http://link.springer.com/article/10.1186/s13742-016-0117-6;Article;;;;;;
;Informed character pose and proportion design;The Visual Computer;;27;4;10.1007/s00371-011-0545-3;M. Tanvirul IslamKaiser M. NahiduzzamanYong Peng WhyGolam Ashraf;2011;http://link.springer.com/article/10.1007/s00371-011-0545-3;Article;;;;;;
;The Impact of Sentiment Features on the Sentiment Polarity Classification in Persian Reviews;Cognitive Computation;;10;1;10.1007/s12559-017-9513-1;Ehsan AsgarianMohsen KahaniShahla Sharifi;2018;http://link.springer.com/article/10.1007/s12559-017-9513-1;Article;;;;;;
;Impact for whom? Mapping the users of public research with lexicon-based text mining;Scientometrics;;126;2;10.1007/s11192-020-03803-z;Andrea BonaccorsiFilippo ChiarelloGualtiero Fantoni;2021;http://link.springer.com/article/10.1007/s11192-020-03803-z;Article;;;;;;
;A framework for efficient multi-attribute movement data analysis;The VLDB Journal;;28;4;10.1007/s00778-018-0525-6;Fabio ValdésRalf Hartmut Güting;2019;http://link.springer.com/article/10.1007/s00778-018-0525-6;Article;;;;;;
;Digital hermeneutics: from interpreting with machines to interpretational machines;AI & SOCIETY;;35;1;10.1007/s00146-018-0856-2;Alberto RomeleMarta SeveroPaolo Furia;2020;http://link.springer.com/article/10.1007/s00146-018-0856-2;Article;;;;;;
;Combining knowledge graph with deep adversarial network for water quality prediction;Environmental Science and Pollution Research;;30;4;10.1007/s11356-022-22769-4;Jianzhuo YanQingcai GaoYongchuan YuLihong ChenZhe XuJianhui Chen;2023;http://link.springer.com/article/10.1007/s11356-022-22769-4;Article;;;;;;
;Abstract;Journal of Ornithology;;147;1;10.1007/s10336-006-0093-1;;2006;http://link.springer.com/article/10.1007/s10336-006-0093-1;Article;;;;;;
;Active neural learners for text with dual supervision;Neural Computing and Applications;;32;17;10.1007/s00521-019-04681-0;Chandramouli Shama SastryEvangelos E. Milios;2020;http://link.springer.com/article/10.1007/s00521-019-04681-0;Article;;;;;;
;Multimodal news analytics using measures of cross-modal entity and context consistency;International Journal of Multimedia Information Retrieval;;10;2;10.1007/s13735-021-00207-4;Eric Müller-BudackJonas TheinerSebastian DieringMaximilian IdahlSherzod HakimovRalph Ewerth;2021;http://link.springer.com/article/10.1007/s13735-021-00207-4;Article;;;;;;
;Learning Relevance Restricted Boltzmann Machine for Unstructured Group Activity and Event Understanding;International Journal of Computer Vision;;119;3;10.1007/s11263-016-0896-3;Fang ZhaoYongzhen HuangLiang WangTao XiangTieniu Tan;2016;http://link.springer.com/article/10.1007/s11263-016-0896-3;Article;;;;;;
;Extracting LPL privacy policy purposes from annotated web service source code;Software and Systems Modeling;;22;1;10.1007/s10270-022-00998-y;Kalle HjerppeJukka RuohonenVille Leppänen;2023;http://link.springer.com/article/10.1007/s10270-022-00998-y;Article;;;;;;
;Scientometric analysis and knowledge mapping of literature-based discovery (1986–2020);Scientometrics;;126;2;10.1007/s11192-020-03811-z;Andrej KastrinDimitar Hristovski;2021;http://link.springer.com/article/10.1007/s11192-020-03811-z;Article;;;;;;
;A full-process intelligent trial system for smart court;Frontiers of Information Technology & Electronic Engineering;;23;2;10.1631/FITEE.2100041;Bin Wei 魏斌Kun Kuang 况琨Changlong Sun 孙常龙Jun Feng 冯珺Yating Zhang 张雅婷Xinli Zhu 朱新力Jianghong Zhou 周江洪Yinsheng Zhai 翟寅生Fei Wu 吴飞;2022;http://link.springer.com/article/10.1631/FITEE.2100041;Article;;;;;;
;A framework for monitoring movements of pandemic disease patients based on GPS trajectory datasets;Wireless Networks;;28;1;10.1007/s11276-021-02819-4;Paulinus O. UgwokeFrancis S. BakpoCollins N. UdanorMatthew C. Okoronkwo;2022;http://link.springer.com/article/10.1007/s11276-021-02819-4;Article;;;;;;
;TP-TA: a comparative analytical framework for trust prediction models in online social networks based on trust aspects;Artificial Intelligence Review;;52;3;10.1007/s10462-017-9583-1;Aynaz KhaksariMohammadReza Keyvanpour;2019;http://link.springer.com/article/10.1007/s10462-017-9583-1;Article;;;;;;
;BiNoM 2.0; a Cytoscape plugin for accessing and analyzing pathways using standard systems biology formats;BMC Systems Biology;;7;1;10.1186/1752-0509-7-18;Eric BonnetLaurence CalzoneDaniel RoveraGautier StollEmmanuel BarillotAndrei Zinovyev;2013;http://link.springer.com/article/10.1186/1752-0509-7-18;Article;;;;;
;Comprehension of Procedural Visual Business Process Models;Business & Information Systems Engineering;;59;1;10.1007/s12599-016-0460-2;Dr. MMag. Kathrin Figl;2017;http://link.springer.com/article/10.1007/s12599-016-0460-2;Article;;;;;;
;Toward automatic support for leading court debates: a novel task proposal & effective approach of judicial question generation;Neural Computing and Applications;;34;19;10.1007/s00521-022-07588-5;Changzhen JiYating ZhangXiaozhong LiuAdam JatowtSourav S. BhowmickChanglong SunConghui ZhuTiejun Zhao;2022;http://link.springer.com/article/10.1007/s00521-022-07588-5;Article;;;;;;
;Hybrid Natural Language Generation from Lexical Conceptual Structures;Machine Translation;;18;2;10.1023/B:COAT.0000020960.27186.18;Nizar HabashBonnie DorrDavid Traum;2003;http://link.springer.com/article/10.1023/B%3ACOAT.0000020960.27186.18;Article;;;;;;
;A mechanism for blind-friendly user interface adaptation of mobile apps: a case study for improving the user experience of the blind people;Journal of Ambient Intelligence and Humanized Computing;;13;5;10.1007/s12652-021-03393-5;Akif KhanShah Khusro;2022;http://link.springer.com/article/10.1007/s12652-021-03393-5;Article;;;;;;
;MI-MERCURY: A mobile agent architecture for ubiquitous retrieval and delivery of multimedia information;Multimedia Tools and Applications;;38;1;10.1007/s11042-007-0153-4;Nikolaos PapadakisAnastasios DoulamisAntonios LitkeNikolaos DoulamisDimitrios SkoutasTheodora Varvarigou;2008;http://link.springer.com/article/10.1007/s11042-007-0153-4;Article;;;;;;
;Making AI meaningful again;Synthese;;198;3;10.1007/s11229-019-02192-y;Jobst LandgrebeBarry Smith;2021;http://link.springer.com/article/10.1007/s11229-019-02192-y;Article;;;;;;
;20th IUPAB International Congress; 45th SBBf Congress and 50th Annual Meeting of SBBq;Biophysical Reviews;;13;6;10.1007/s12551-021-00845-2;;2021;http://link.springer.com/article/10.1007/s12551-021-00845-2;Article;;;;;
;WWW in the Small;World Wide Web;;10;4;10.1007/s11280-007-0024-y;Stefania BandiniMarcello SariniCarla SimoneGiuseppe Vizzari;2007;http://link.springer.com/article/10.1007/s11280-007-0024-y;Article;;;;;;
;An approach to measuring and annotating the confidence of Wiktionary translations;Language Resources and Evaluation;;51;2;10.1007/s10579-017-9384-9;Antonio J. Roa-ValverdeSalvador Sanchez-AlonsoMiguel-Angel SiciliaDieter Fensel;2017;http://link.springer.com/article/10.1007/s10579-017-9384-9;Article;;;;;;
;On systematically building a controlled natural language for functional requirements;Empirical Software Engineering;;26;4;10.1007/s10664-021-09956-6;Alvaro VeizagaMauricio AlferezDamiano TorreMehrdad SabetzadehLionel Briand;2021;http://link.springer.com/article/10.1007/s10664-021-09956-6;Article;;;;;;
;Trust-based recommendation systems in Internet of Things: a systematic literature review;Human-centric Computing and Information Sciences;;9;1;10.1186/s13673-019-0183-8;Venus MohammadiAmir Masoud RahmaniAso Mohammed DarweshAmir Sahafi;2019;http://link.springer.com/article/10.1186/s13673-019-0183-8;Article;;;;;;
;Generative Adversarial Networks based on optimal transport: a survey;Artificial Intelligence Review;;56;7;10.1007/s10462-022-10342-x;Bernard Kamsu-FoguemShester Landry Msouobu GueuwouCheick Abdoul Kadir A. Kounta;2023;http://link.springer.com/article/10.1007/s10462-022-10342-x;Article;;;;;;
;Representing physiological processes and their participants with PhysioMaps;Journal of Biomedical Semantics;;4;1;10.1186/2041-1480-4-S1-S2;Daniel L. CookMaxwell L. NealRobert HoehndorfGeorgios V. GkoutosJohn H. Gennari;2013;http://link.springer.com/article/10.1186/2041-1480-4-S1-S2;Article;;;;;;
;The post-genomic era of biological network alignment;EURASIP Journal on Bioinformatics and Systems Biology;;2015;1;10.1186/s13637-015-0022-9;Fazle E FaisalLei MengJoseph CrawfordTijana Milenković;2015;http://link.springer.com/article/10.1186/s13637-015-0022-9;Article;;;;;;
;Explainable artificial intelligence: a comprehensive review;Artificial Intelligence Review;;55;5;10.1007/s10462-021-10088-y;Dang MinhH. Xiang WangY. Fen LiTan N. Nguyen;2022;http://link.springer.com/article/10.1007/s10462-021-10088-y;Article;;;;;;
;Towards human-computer synergetic analysis of large-scale biological data;BMC Bioinformatics;;14;14;10.1186/1471-2105-14-S14-S10;Rahul SinghHui YangBen DalzielDaniel AsarnowWilliam MuradDavid FooteMatthew GormleyJonathan StillmanSusan Fisher;2013;http://link.springer.com/article/10.1186/1471-2105-14-S14-S10;Article;;;;;;
;Listening to the patient voice: using a sentic computing model to evaluate physicians’ healthcare service quality for strategic planning in hospitals;Quality & Quantity;;55;1;10.1007/s11135-020-00999-3;Adnan Muhammad ShahXiangbin YanSamia TariqSalim Khan;2021;http://link.springer.com/article/10.1007/s11135-020-00999-3;Article;;;;;;
